facility_name,location_type,operator,status,changing_stations,latitude,longitude,location_1,:@computed_region_yeji_bk3q,:@computed_region_sbqj_enih,:@computed_region_92fq_4b7q,:@computed_region_f5dn_yrer,accessibility,restroom_type,open,hours_of_operation,website,additional_notes
"Clinton Hill Library, BPL",Library,BPL,Operational,Yes,40.687387,-73.966032,"{'type': 'Point', 'coordinates': [-73.966032, 40.687387]}",2,55,48,68,Fully Accessible,Single-Stall All Gender Restroom(s),Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",{'url': 'https://www.bklynlibrary.org/locations/clinton-hill'},
Jamaica LIRR Restroom,Transit,LIRR,Operational,,40.699608,-73.808531,"{'type': 'Point', 'coordinates': [-73.808531, 40.699608]}",3,61,6,41,,,Year Round,"Bathrooms are open from 7 a.m.-7 p.m., with a one-hour closure for cleaning from 12 noon-1 p.m.",{'url': 'https://new.mta.info/agency/new-york-city-transit/bathrooms'},MTA station with bathrooms located outside of fare gates and open to the wider public
Luther Gulick Park,Park,NYC Parks,Operational,Yes,40.715940,-73.981600,"{'type': 'Point', 'coordinates': [-73.9816, 40.71594]}",4,4,32,70,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Marie Curie Playground,Park,NYC Parks,Operational,Yes,40.757090,-73.771500,"{'type': 'Point', 'coordinates': [-73.7715, 40.75709]}",3,69,20,26,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
"New Amsterdam Library, NYPL",Library,NYPL,Operational,Yes,40.713585,-74.007871,"{'type': 'Point', 'coordinates': [-74.007871, 40.713585]}",4,1,32,56,Fully Accessible,Single-Stall All Gender Restroom(s),Year Round,"Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 am - 7:00 pm  
Wednesday: 10:00 am - 7:00 pm   
Thursday: 10:00 am - 7:00 pm   
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.nypl.org/locations/new-amsterdam'},
Nelson Playground,Park,NYC Parks,Operational,"""Yes, in women's restroom only""",40.835030,-73.926600,"{'type': 'Point', 'coordinates': [-73.9266, 40.83503]}",5,27,35,50,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Hippo Playground,Park,NYC Parks,Operational,"""Yes, in women's restroom only""",40.793380,-73.978000,"{'type': 'Point', 'coordinates': [-73.978, 40.79338]}",4,15,19,20,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
"Ridgewood Library, QPL",Library,QPL,Operational,Yes,40.705235,-73.902590,"{'type': 'Point', 'coordinates': [-73.90259, 40.705235]}",3,62,34,54,,Single-Stall All Gender Restroom(s),Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.queenslibrary.org/about-us/locations/ridgewood'},
Hoyt Playground,Park,NYC Parks,Operational,,40.772016,-73.917342,"{'type': 'Point', 'coordinates': [-73.917342, 40.772016]}",3,72,4,39,,,Year Round,"8am-4pm, Open later seasonally",,
"St. Agnes Library, NYPL",Library,NYPL,Operational,Yes,40.784843,-73.977454,"{'type': 'Point', 'coordinates': [-73.977454, 40.784843]}",4,12,19,20,Fully Accessible,Single-Stall All Gender Restroom(s),Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 10:00 pm - 7:00 pm 
Wednesday: 10:00 am - 7:00 pm 
Thursday: 10:00 pm - 7:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 6:00 pm",{'url': 'https://www.nypl.org/locations/st-agnes'},
"Marcy Library, BPL",Library,BPL,Operational,Yes,40.691631,-73.951285,"{'type': 'Point', 'coordinates': [-73.951285, 40.691631]}",2,51,49,69,Fully Accessible,Single-Stall All Gender Restroom(s),Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",{'url': 'https://www.bklynlibrary.org/locations/marcy'},
Wayanda Park,Park,NYC Parks,Operational,Yes,40.710860,-73.739000,"{'type': 'Point', 'coordinates': [-73.739, 40.71086]}",3,63,6,63,Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Year Round,"8am-4pm, Open later seasonally",,
Roy Wilkins Rec Center Zone 2A,Park,NYC Parks,Operational,Yes,40.687660,-73.772500,"{'type': 'Point', 'coordinates': [-73.7725, 40.68766]}",3,71,6,41,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
"Queens Central Library, QPL",Library,QPL,Operational,Yes,40.707881,-73.794679,"{'type': 'Point', 'coordinates': [-73.794679, 40.707881]}",3,61,6,41,,Both Single-Stall All Gender and Multi-Stall W/M,Year Round,"Sunday: Closed 
Monday: 10:00 am - 8:00 pm 
Tuesday: 10:00 am - 8:00 pm 
Wednesday: 10:00 am - 8:00 pm 
Thursday: 10:00 am - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.queenslibrary.org/about-us/locations/central-library'},"Yes, a key is needed to enter"
Cunningham Park Indoor Tennis,Park,NYC Parks Concessionaire,Operational,No,40.729396,-73.772786,"{'type': 'Point', 'coordinates': [-73.772786, 40.729396]}",3,65,16,25,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,7:00am-11:00pm (indoor season) 8:00am-7:30pm (outdoor season),,
Martin Luther King Jr. Playground,Park,NYC Parks,Operational,Yes,40.667420,-73.890200,"{'type': 'Point', 'coordinates': [-73.8902, 40.66742]}",2,47,25,45,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Alice Kornegay Triangle,Park,NYC Parks,Operational,Yes,40.806550,-73.935600,"{'type': 'Point', 'coordinates': [-73.9356, 40.80655]}",4,16,36,7,Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Year Round,"8am-4pm, Open later seasonally",,
Park Slope Playground,Park,NYC Parks,Operational,Yes,40.677030,-73.978500,"{'type': 'Point', 'coordinates': [-73.9785, 40.67703]}",2,50,27,14,Partially Accessible,Multi-Stall W/M Restrooms,Seasonal,"8am-4pm, Open later seasonally",,
Bufano Park,Park,NYC Parks,Operational,Yes,40.838020,-73.831000,"{'type': 'Point', 'coordinates': [-73.831, 40.83802]}",5,28,12,43,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Terrace Playground,Park,NYC Parks,Operational,Yes,40.613560,-74.098300,"{'type': 'Point', 'coordinates': [-74.0983, 40.61356]}",1,74,13,4,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
"Astoria Library, QPL",Library,QPL,Operational,Yes,40.772384,-73.928743,"{'type': 'Point', 'coordinates': [-73.928743, 40.772384]}",3,72,4,39,,Single-Stall All Gender Restroom(s),Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.queenslibrary.org/about-us/locations/astoria'},"Yes, a key is needed to enter"
Judge Moses Weinstein Playground,Park,NYC Parks,Operational,Yes,40.718690,-73.820400,"{'type': 'Point', 'coordinates': [-73.8204, 40.71869]}",3,65,24,25,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Turtle Cove Driving Range,Park,NYC Parks Concessionaire,Operational,No,40.864417,-73.807479,"{'type': 'Point', 'coordinates': [-73.807479, 40.864417]}",5,28,12,44,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,7:00am - 10:00pm Daily,,
Paerdegat Park,Park,NYC Parks,Operational,Yes,40.638070,-73.938100,"{'type': 'Point', 'coordinates': [-73.9381, 40.63807]}",2,40,26,61,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Jackie Robinson Playground,Park,NYC Parks,Operational,Yes,40.665870,-73.958900,"{'type': 'Point', 'coordinates': [-73.9589, 40.66587]}",2,44,48,17,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
"Langston Hughes Library, QPL",Library,QPL,Operational,"""Yes, in single-stall all gender restroom only""",40.757586,-73.868201,"{'type': 'Point', 'coordinates': [-73.868201, 40.757586]}",3,73,21,65,,Both Single-Stall All Gender and Multi-Stall W/M,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.queenslibrary.org/about-us/locations/langston-hughes'},"Yes, a key is needed to enter"
"Kingsbridge Library, NYPL",Library,NYPL,Operational,Yes,40.880708,-73.907707,"{'type': 'Point', 'coordinates': [-73.907707, 40.880708]}",5,33,40,48,Fully Accessible,Single-Stall All Gender Restroom(s),Year Round,"Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 pm - 7:00 pm 
Wednesday: 10:00 am - 7:00 pm 
Thursday: 10:00 pm - 7:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.nypl.org/locations/kingsbridge'},
Sobelsohn Park,Park,NYC Parks,Operational,No,40.709860,-73.835500,"{'type': 'Point', 'coordinates': [-73.8355, 40.70986]}",3,60,28,38,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Carroll Park,Park,NYC Parks,Operational,Yes,40.680870,-73.994800,"{'type': 'Point', 'coordinates': [-73.9948, 40.68087]}",2,48,27,14,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Paerdegat Basin Marina 5,Park,NYC Parks Concessionaire,Operational,No,40.627513,-73.905176,"{'type': 'Point', 'coordinates': [-73.905176, 40.627513]}",2,42,8,5,Partially Accessible,Multi-Stall W/M Restrooms,Year Round,9:00am-5:00pm,,
Moore Playground,Park,NYC Parks,Operational,No,40.809700,-73.939200,"{'type': 'Point', 'coordinates': [-73.9392, 40.8097]}",4,16,36,7,,,Year Round,"8am-4pm, Open later seasonally",,
Webster Playground,Park,NYC Parks,Operational,Yes,40.859520,-73.892900,"{'type': 'Point', 'coordinates': [-73.8929, 40.85952]}",5,31,22,35,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Commodore Barry Park,Park,NYC Parks,Operational,No,40.697580,-73.979300,"{'type': 'Point', 'coordinates': [-73.9793, 40.69758]}",2,55,48,68,Fully Accessible,Multi-Stall W/M Restrooms,Seasonal,"8am-4pm, Open later seasonally",,
"125th Street Library, NYPL",Library,NYPL,Operational,Yes,40.803026,-73.934849,"{'type': 'Point', 'coordinates': [-73.934849, 40.803026]}",4,16,35,7,Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Year Round,"Sunday: Closed 
Monday: 11:00 am - 7:00 pm 
Tuesday: 10:00 am - 7:00 pm 
Wednesday: 10:00 am - 7:00 pm 
Thursday: 11:00 am - 7:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.nypl.org/locations/125th-street'},
Sol Lain Playground,Park,NYC Parks,Operational,Yes,40.714410,-73.984000,"{'type': 'Point', 'coordinates': [-73.984, 40.71441]}",4,4,32,70,Fully Accessible,Multi-Stall W/M Restrooms,Seasonal,"8am-4pm, Open later seasonally",,
"Hunters Point Library, QPL",Library,QPL,Operational,Yes,40.745269,-73.957960,"{'type': 'Point', 'coordinates': [-73.95796, 40.745269]}",3,66,33,53,,Both Single-Stall All Gender and Multi-Stall W/M,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.queenslibrary.org/about-us/locations/hunters-point'},
Fox Park,Park,NYC Parks,Operational,Yes,40.815140,-73.898500,"{'type': 'Point', 'coordinates': [-73.8985, 40.81514]}",5,24,35,8,,,Year Round,"8am-4pm, Open later seasonally",,
Pat Parlato Playground,Park,NYC Parks,Operational,Yes,40.577020,-73.946200,"{'type': 'Point', 'coordinates': [-73.9462, 40.57702]}",2,36,15,32,Partially Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
The High Line Zone 2,Park,NYC Parks,Operational,,40.752580,-74.002100,"{'type': 'Point', 'coordinates': [-74.0021, 40.75258]}",4,6,10,12,,,Year Round,"8am-4pm, Open later seasonally",,
Ben Abrams Playground,Park,NYC Parks,Operational,"""Yes, in women's restroom only""",40.854380,-73.869700,"{'type': 'Point', 'coordinates': [-73.8697, 40.85438]}",5,32,22,28,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Albemarle Playground,Park,NYC Parks,Operational,Yes,40.646040,-73.980500,"{'type': 'Point', 'coordinates': [-73.9805, 40.64604]}",2,39,27,2,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
"Todt Hill-Westerleigh Library, NYPL",Library,NYPL,Operational,No,40.609610,-74.148523,"{'type': 'Point', 'coordinates': [-74.148523, 40.60961]}",1,75,14,4,Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Year Round,"Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 am - 7:00 pm  
Wednesday: 10:00 am - 7:00 pm   
Thursday: 10:00 am - 7:00 pm   
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.nypl.org/locations/todt-hill-westerleigh'},Changing Table outside restroom
"Phil ""Scooter"" Rizzuto Park",Park,NYC Parks,Operational,Yes,40.694670,-73.821500,"{'type': 'Point', 'coordinates': [-73.8215, 40.69467]}",3,60,46,46,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Saul Weprin Playground,Park,NYC Parks,Operational,Yes,40.747880,-73.776200,"{'type': 'Point', 'coordinates': [-73.7762, 40.74788]}",3,69,3,26,Fully Accessible,Multi-Stall W/M Restrooms,Seasonal,"8am-4pm, Open later seasonally",,
Bendheim Playground,Park,NYC Parks,Operational,,40.790400,-73.954600,"{'type': 'Point', 'coordinates': [-73.9546, 40.7904]}",4,13,19,19,Fully Accessible,Single -Stall All Gender Restroom(s),Seasonal,"8am-4pm, Open later seasonally",,
Vinmont Veteran Park,Park,NYC Parks,Operational,"""Yes, in men's restroom only""",40.902150,-73.904900,"{'type': 'Point', 'coordinates': [-73.9049, 40.90215]}",5,33,40,48,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Coney Island Beach Zone 5b,Park,NYC Parks,Operational,Yes,40.572600,-73.983100,"{'type': 'Point', 'coordinates': [-73.9831, 40.5726]}",2,35,45,21,Fully Accessible,Multi-Stall W/M Restrooms,Seasonal,"8am-4pm, Open later seasonally",,
Bennett Park,Park,NYC Parks,Operational,Yes,40.853220,-73.937900,"{'type': 'Point', 'coordinates': [-73.9379, 40.85322]}",4,22,39,47,Not Accessible,Multi-Stall W/M Restrooms,Seasonal,"8am-4pm, Open later seasonally",,
Curtis Playground,Park,NYC Parks,Operational,Yes,40.640810,-73.917600,"{'type': 'Point', 'coordinates': [-73.9176, 40.64081]}",2,42,8,5,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Dean Playground,Park,NYC Parks,Operational,Yes,40.680560,-73.972800,"{'type': 'Point', 'coordinates': [-73.9728, 40.68056]}",2,50,48,16,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Astoria Heights Playground,Park,NYC Parks,Operational,Yes,40.761020,-73.911300,"{'type': 'Point', 'coordinates': [-73.9113, 40.76102]}",3,72,4,39,Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Year Round,"8am-4pm, Open later seasonally",,
Allerton Fields In Bronx Park,Park,NYC Parks,Operational,"""Yes, in women's restroom only""",40.869530,-73.876600,"{'type': 'Point', 'coordinates': [-73.8766, 40.86953]}",5,34,40,28,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Underwood Park,Park,NYC Parks,Operational,Yes,40.688570,-73.966700,"{'type': 'Point', 'coordinates': [-73.9667, 40.68857]}",2,55,48,68,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Soundview Park Zone 4,Park,NYC Parks,Operational,Yes,40.819080,-73.878300,"{'type': 'Point', 'coordinates': [-73.8783, 40.81908]}",5,26,31,58,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Little Flower Playground,Park,NYC Parks,Operational,Yes,40.712580,-73.988600,"{'type': 'Point', 'coordinates': [-73.9886, 40.71258]}",4,4,32,70,Fully Accessible,Multi-Stall W/M Restrooms,Seasonal,"8am-4pm, Open later seasonally",,
Bill Rainey Park,Park,NYC Parks,Operational,No,40.818760,-73.898300,"{'type': 'Point', 'coordinates': [-73.8983, 40.81876]}",5,24,43,8,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Beach 17 Playground,Park,NYC Parks,Operational,Yes,40.594190,-73.750600,"{'type': 'Point', 'coordinates': [-73.7506, 40.59419]}",3,59,47,51,Not Accessible,Multi-Stall W/M Restrooms,Year Round,12:00pm-10:00pm,,
"Whitestone Library, QPL",Library,QPL,Operational,Yes,40.788549,-73.810703,"{'type': 'Point', 'coordinates': [-73.810703, 40.788549]}",3,67,20,22,,Single-Stall All Gender Restroom(s),Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.queenslibrary.org/about-us/locations/whitestone'},"Yes, a key is needed to enter"
157 St Playground,Park,NYC Parks,Operational,Yes,40.684550,-73.786100,"{'type': 'Point', 'coordinates': [-73.7861, 40.68455]}",3,71,46,41,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
P.S. 279 Playground,Park,NYC Parks,Operational,No,40.644590,-73.893300,"{'type': 'Point', 'coordinates': [-73.8933, 40.64459]}",2,42,8,5,,,Year Round,"8am-4pm, Open later seasonally",,
Orchard Bch. Pavilion,Park,NYC Parks,Operational,Yes,40.866270,-73.794700,"{'type': 'Point', 'coordinates': [-73.7947, 40.86627]}",5,28,12,44,,,Seasonal,"8am-4pm, Open later seasonally",,
Bellerose Playground,Park,NYC Parks,Operational,Yes,40.732860,-73.717700,"{'type': 'Point', 'coordinates': [-73.7177, 40.73286]}",3,63,16,63,Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Seasonal,"8am-4pm, Open later seasonally",,
"Cedar Lane Stables, Tudor Pk.",Park,NYC Parks Concessionaire,Operational,,40.670414,-73.852033,"{'type': 'Point', 'coordinates': [-73.852033, 40.670414]}",3,64,41,62,,,Year Round,,,
"East Flushing Library, QPL",Library,QPL,Operational,Yes,40.757554,-73.784304,"{'type': 'Point', 'coordinates': [-73.784304, 40.757554]}",3,69,20,26,,Single-Stall All Gender Restroom(s),Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.queenslibrary.org/about-us/locations/east-flushing'},"Yes, a key is needed to enter"
Agnes Haywood Playground,Park,NYC Parks,Operational,"""Yes, in men's restroom only""",40.880490,-73.861700,"{'type': 'Point', 'coordinates': [-73.8617, 40.88049]}",5,30,2,29,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
La Guardia Playground,Park,NYC Parks,Operational,No,40.710570,-73.959800,"{'type': 'Point', 'coordinates': [-73.9598, 40.71057]}",2,56,30,36,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Mccarren Park Indoor Tennis,Park,NYC Parks Concessionaire,Operational,No,40.721812,-73.954618,"{'type': 'Point', 'coordinates': [-73.954618, 40.721812]}",2,57,38,36,Partially Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Seasonal,6:00am-12:00am,,
"Jefferson Market Library, NYPL",Library,NYPL,Operational,Yes,40.734643,-73.999171,"{'type': 'Point', 'coordinates': [-73.999171, 40.734643]}",4,3,10,57,Fully Accessible,Single-Stall All Gender Restroom(s),Year Round,"Sunday: Closed 
Monday: 10:00 am - 8:00 pm 
Tuesday: 10:00 am - 8:00 pm
Wednesday: 10:00 am - 8:00 pm
Thursday: 10:00 am - 8:00 pm
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.nypl.org/locations/jefferson-market'},
Ten Mile River Playground,Park,NYC Parks,Operational,No,40.829820,-73.952700,"{'type': 'Point', 'coordinates': [-73.9527, 40.82982]}",4,19,23,37,Not Accessible,Multi-Stall W/M Restrooms,Seasonal,"8am-4pm, Open later seasonally",,
Carl Schurz Promenade,Park,NYC Parks,Operational,Yes,40.775710,-73.943900,"{'type': 'Point', 'coordinates': [-73.9439, 40.77571]}",4,11,1,23,Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Year Round,"8am-4pm, Open later seasonally",,
Travers Park,Park,NYC Parks,Operational,"""Yes, in women's restroom only""",40.754370,-73.889500,"{'type': 'Point', 'coordinates': [-73.8895, 40.75437]}",3,73,5,65,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Clark Playground,Park,NYC Parks,Operational,No,40.813970,-73.921200,"{'type': 'Point', 'coordinates': [-73.9212, 40.81397]}",5,23,35,49,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Moynihan Connector,Park,Friends of the High Line,Operational,,40.752417,-73.999290,"{'type': 'Point', 'coordinates': [-73.99929, 40.752417]}",4,6,10,12,,,Year Round,,,
Fdr Brdwalk/South Beach Rest.,Park,NYC Parks Concessionaire,Operational,"""Yes, in women's restroom only""",40.589199,-74.066463,"{'type': 'Point', 'coordinates': [-74.066463, 40.589199]}",1,76,14,31,Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Year Round,6:00am-11:00pm,,
Madison Square Park APT,Public Plaza,NYC DOT/JCDecaux,Operational,No,40.741309,-73.987845,"{'type': 'Point', 'coordinates': [-73.987845, 40.741309]}",4,7,50,11,Fully Accessible,Single-Stall All Gender Restroom(s),Year Round,8am-8pm,{'url': 'https://portal.311.nyc.gov/article/?kanumber=KA-02226'},This unit costs $.25 to use.
Mill Pond Playground,Park,NYC Parks,Operational,,40.820460,-73.931700,"{'type': 'Point', 'coordinates': [-73.9317, 40.82046]}",5,27,35,50,,,Year Round,"8am-4pm, Open later seasonally",,
Downing Street Playground,Park,NYC Parks,Operational,Yes,40.730020,-74.002900,"{'type': 'Point', 'coordinates': [-74.0029, 40.73002]}",4,3,10,57,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
"DeKalb Library, BPL",Library,BPL,Operational,Yes,40.694825,-73.928400,"{'type': 'Point', 'coordinates': [-73.9284, 40.694825]}",2,53,30,42,Partially Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",{'url': 'https://www.bklynlibrary.org/locations/dekalb'},
"Forest Hills Library, QPL",Library,QPL,Operational,Yes,40.722155,-73.843016,"{'type': 'Point', 'coordinates': [-73.843016, 40.722155]}",3,70,28,40,,Single-Stall All Gender Restroom(s),Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.queenslibrary.org/about-us/locations/forest-hills'},"Yes, a key is needed to enter"
"Williamsburgh Library, BPL",Library,BPL,Operational,Yes,40.706939,-73.957556,"{'type': 'Point', 'coordinates': [-73.957556, 40.706939]}",2,56,38,36,Fully Accessible,Single-Stall All Gender Restroom(s),Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",{'url': 'https://www.bklynlibrary.org/locations/williamsburgh'},
Van Cortlandt Golf Course,Park,NYC Parks Concessionaire,Operational,No,40.896614,-73.887601,"{'type': 'Point', 'coordinates': [-73.887601, 40.896614]}",5,33,40,27,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,6:00am-8:00pm Daily,,
"Harlem Library, NYPL",Library,NYPL,Operational,No,40.806169,-73.943317,"{'type': 'Point', 'coordinates': [-73.943317, 40.806169]}",4,18,36,18,Fully Accessible,Single-Stall All Gender Restroom(s),Year Round,"Sunday: Closed 
Monday: 11:00 am - 7:00 pm 
Tuesday: 11:00 am - 7:00 pm 
Wednesday: 11:00 am - 7:00 pm 
Thursday: 11:00 am - 7:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.nypl.org/locations/harlem'},
Penn Station LIRR Restroom,Transit,LIRR,Operational,,40.750588,-73.993581,"{'type': 'Point', 'coordinates': [-73.993581, 40.750588]}",4,8,10,11,,,Year Round,"Bathrooms are open from 7 a.m.-7 p.m., with a one-hour closure for cleaning from 12 noon-1 p.m.",{'url': 'https://new.mta.info/agency/new-york-city-transit/bathrooms'},MTA station with bathrooms located outside of fare gates and open to the wider public
Locust Point Marina,Park,NYC Parks Concessionaire,Operational,Yes,40.816569,-73.806112,"{'type': 'Point', 'coordinates': [-73.806112, 40.816569]}",5,28,12,43,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,9:00am-5:00pm,,
Arthur Kill Amusement Park,Park,NYC Parks Concessionaire,Operational,No,40.561486,-74.169255,"{'type': 'Point', 'coordinates': [-74.169255, 40.561486]}",1,75,9,30,Fully Accessible,Multi-Stall W/M Restrooms,Seasonal,Tues-Sun 12pm-10pm,,
